date;RealP1;RealP2;RealP3;AppP1;AppP2;AppP3;Irms1;Irms2;Irms3;Vrms1;Vrms2;Vrms3;PowerF1;PowerF2;PowerF3;Appareil
2019-08-02T16:41:21.518Z;-0.98;33.63;15.91;-0.98;64.67;85.06;0.17;0.25;0.32;262.22;261.16;262.44;0.000;0.510;0.176;Cafetière
2019-08-02T16:41:23.570Z;-2.87;41.41;13.84;-2.87;66.04;85.76;0.19;0.25;0.33;261.52;262.43;261.82;0.039;0.621;0.152;Cafetière
2019-08-02T16:41:25.623Z;-0.28;42.95;13.21;-0.28;85.55;89.84;0.17;0.33;0.34;262.15;260.99;262.34;0.000;0.491;0.145;Cafetière
2019-08-02T16:41:27.675Z;-0.37;40.84;13.67;-0.37;75.78;84.96;0.15;0.29;0.33;261.11;262.60;261.43;0.000;0.528;0.153;Cafetière
2019-08-02T16:41:29.728Z;-4.68;40.58;13.70;-4.68;70.35;89.85;0.19;0.27;0.34;262.15;261.29;262.20;0.080;0.569;0.145;Cafetière
2019-08-02T16:41:31.781Z;-0.56;39.65;14.46;-0.56;67.04;87.30;0.17;0.26;0.33;261.67;262.31;261.34;0.000;0.582;0.160;Cafetière
2019-08-02T16:41:33.833Z;-0.33;40.32;15.58;-0.33;67.62;87.40;0.17;0.26;0.33;262.14;261.33;262.48;0.000;0.592;0.172;Cafetière
2019-08-02T16:41:35.886Z;0.54;37.69;11.35;0.54;70.10;88.19;0.19;0.27;0.34;262.26;262.16;260.98;0.000;0.528;0.125;Cafetière
2019-08-02T16:41:37.938Z;0.03;40.23;16.10;0.03;68.06;89.25;0.16;0.26;0.34;261.54;261.22;262.61;0.000;0.588;0.179;Cafetière
2019-08-02T16:41:39.992Z;-5.86;44.23;1167.17;-5.86;79.60;1184.33;0.17;0.30;4.54;261.19;261.89;260.97;0.115;0.553;0.985;Cafetière
2019-08-02T16:41:42.045Z;-6.20;39.58;1173.36;-6.20;72.18;1190.37;0.17;0.28;4.54;261.10;261.76;261.95;0.133;0.540;0.985;Cafetière
2019-08-02T16:41:44.100Z;-7.84;44.03;1171.59;-7.84;72.09;1189.11;0.18;0.28;4.54;262.07;260.46;262.05;0.147;0.610;0.985;Cafetière
2019-08-02T16:41:46.154Z;-7.23;45.92;1157.14;-7.23;75.44;1174.36;0.17;0.29;4.51;261.52;261.55;260.56;0.154;0.596;0.985;Cafetière
2019-08-02T16:41:48.207Z;-8.44;45.04;1167.90;-8.44;74.46;1184.90;0.17;0.28;4.53;260.69;262.17;261.81;0.178;0.604;0.985;Cafetière
2019-08-02T16:41:50.261Z;-3.77;42.86;1171.05;-3.77;76.64;1188.67;0.17;0.29;4.54;261.91;261.01;261.98;0.068;0.548;0.985;Cafetière
2019-08-02T16:41:52.316Z;-4.06;41.73;1153.93;-4.06;69.95;1171.36;0.17;0.27;4.49;261.58;261.60;261.03;0.088;0.586;0.984;Cafetière
2019-08-02T16:41:54.370Z;-7.23;41.96;1166.48;-7.23;72.53;1183.81;0.17;0.28;4.52;260.63;261.74;261.89;0.163;0.565;0.985;Cafetière
2019-08-02T16:41:56.424Z;-6.13;41.21;1160.90;-6.13;74.19;1178.05;0.17;0.28;4.50;262.05;260.59;261.51;0.137;0.553;0.985;Cafetière
2019-08-02T16:41:58.477Z;-3.97;34.82;1158.40;-3.97;64.29;1175.30;0.19;0.25;4.50;261.18;262.01;261.09;0.060;0.529;0.985;Cafetière
2019-08-02T16:42:00.534Z;-8.51;35.06;1166.25;-8.51;71.11;1183.22;0.19;0.27;4.51;261.12;260.64;262.21;0.158;0.492;0.985;Cafetière
2019-08-02T16:42:02.588Z;-7.30;33.20;1157.41;-7.30;61.20;1174.22;0.18;0.23;4.50;262.23;261.35;261.19;0.148;0.539;0.985;Cafetière
2019-08-02T16:42:04.638Z;-9.55;39.33;1155.93;-9.55;141.25;1173.19;0.19;0.54;4.49;260.85;261.82;261.47;0.182;0.276;0.984;Cafetière
2019-08-02T16:42:06.692Z;-2.71;44.88;1159.18;-2.71;72.61;1176.18;0.20;0.28;4.50;261.96;260.92;261.29;0.039;0.606;0.985;Cafetière
2019-08-02T16:42:08.747Z;-10.03;47.37;1147.68;-10.03;74.56;1164.90;0.22;0.28;4.47;261.88;261.93;260.75;0.171;0.630;0.985;Cafetière
2019-08-02T16:42:10.801Z;-6.50;43.21;1159.43;-6.50;75.62;1176.54;0.23;0.29;4.49;260.96;261.99;262.00;0.101;0.569;0.985;Cafetière
2019-08-02T16:42:12.855Z;-4.98;39.53;1160.24;-4.98;70.33;1176.36;0.18;0.27;4.50;261.77;260.71;261.56;0.083;0.555;0.986;Cafetière
2019-08-02T16:42:14.908Z;-5.79;45.80;1152.84;-5.79;75.44;1169.82;0.14;0.29;4.49;261.48;262.44;260.34;0.140;0.597;0.985;Cafetière
2019-08-02T16:42:16.963Z;-10.69;46.02;1165.98;-10.69;74.78;1183.34;0.18;0.29;4.51;260.75;261.54;262.14;0.213;0.615;0.984;Cafetière
2019-08-02T16:42:19.017Z;-4.65;42.78;1155.65;-4.65;73.19;1172.62;0.17;0.28;4.49;261.71;260.93;261.36;0.092;0.574;0.985;Cafetière
2019-08-02T16:42:21.071Z;-7.61;43.33;1153.61;-7.61;70.18;1171.20;0.16;0.27;4.49;261.06;261.98;261.01;0.168;0.613;0.984;Cafetière
2019-08-02T16:42:23.124Z;-8.59;45.51;1163.92;-8.59;72.90;1180.78;0.22;0.28;4.50;261.36;261.14;262.29;0.141;0.617;0.985;Cafetière
2019-08-02T16:42:25.179Z;-7.78;38.85;1148.28;-7.78;76.19;1166.38;0.18;0.29;4.48;262.17;260.92;260.30;0.149;0.499;0.984;Cafetière
